,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,trending
66,pps-time,pendulum-project/pps-time,[],time-sync,https://github.com/pendulum-project/pps-time,3.0,3.0,4.0,https://github.com/pendulum-project/pps-time,,2024-12-13 15:45:05.238,2026-06-11 14:04:58,6,3.0,1.0,4.0,A Rust interface for PPS devices.,False,3.0,
67,embedded-hal-mock,dbrgn/embedded-hal-mock,[],hal,{},1243.0,1243.0,25.0,,,,,6,,,,,False,3.0,
68,finny,hashmismatch/finny.rs,[],fsm,https://github.com/hashmismatch/finny.rs,3.0,3.0,1.0,https://github.com/hashmismatch/finny.rs,,2017-02-11 12:47:58.000,2024-04-13 15:26:44,5,7.0,3.0,73.0,Finite State Machines for Rust.,False,3.0,
69,memfault-linux-sdk,memfault/memfault-linux-sdk,[],ota-integration,https://github.com/memfault/memfault-linux-sdk,,,3.0,https://github.com/memfault/memfault-linux-sdk,,2022-07-18 13:03:21.000,2025-08-18 19:28:53,5,7.0,,39.0,"Memfault SDK for embedded Linux systems. Observability, logging, crash reporting, and updating all in one service...",False,1.0,
70,dbus-pure,Arnavion/dbus-pure,['dbus'],ipc,https://github.com/Arnavion/dbus-pure,,,2.0,https://github.com/Arnavion/dbus-pure,,2019-12-26 05:04:22.000,2021-06-18 03:29:18,5,4.0,,7.0,Pure Rust implementation of a D-Bus client.,False,3.0,
71,tokio-sunspec,lukaskirner/tokio-sunspec,[],smart-grid-protocols,https://github.com/lukaskirner/tokio-sunspec,,,3.0,https://github.com/lukaskirner/tokio-sunspec,Apache-2.0,2022-12-28 20:38:56.000,2023-03-22 13:34:10,5,2.0,3.0,4.0,A tokio-based SunSpec library.,False,2.0,
72,eebus-rust,DerAndereAndi/eebus-rust,[],smart-grid-protocols,https://github.com/DerAndereAndi/eebus-rust,,,2.0,https://github.com/DerAndereAndi/eebus-rust,MIT,2026-01-26 23:24:13.525,2022-04-13 20:05:04,4,1.0,,3.0,Very basic EEBUS protocol implementation in Rust.,False,3.0,
73,sunspec_rs,PeterGrace/sunspec_rs,[],smart-grid-protocols,https://github.com/PeterGrace/sunspec_rs,1.0,1.0,1.0,https://github.com/PeterGrace/sunspec_rs,MIT,2024-05-02 20:00:19.873,2025-12-11 16:33:33,4,,,3.0,,False,3.0,
74,async-rustbus,cmaves/async-rustbus,['dbus'],ipc,https://github.com/cmaves/async-rustbus,5.0,5.0,1.0,https://github.com/cmaves/async-rustbus,,2021-02-25 08:44:13.000,2023-08-13 03:17:40,2,,3.0,2.0,An asynchronous implementation of the DBus protocol based on rustbus.,False,3.0,
75,connman-rs,jmagnuson/connman-rs,['dbus'],net-man,https://github.com/jmagnuson/connman-rs,,,2.0,https://github.com/jmagnuson/connman-rs,,2019-04-30 04:59:46.000,2019-09-28 22:26:01,2,,,1.0,A ConnMan API library written in Rust.,False,1.0,
76,knx-rust,memoos/knx-rust,[],home-automation-protocols,https://github.com/memoos/knx-rust,,,1.0,https://github.com/memoos/knx-rust,,2024-04-23 08:50:45.126,2024-05-02 11:27:58,2,,,,Library implementing the KNXNet/Ip protocol.,False,3.0,
77,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,{},26.0,26.0,11.0,,,,,2,,,,,False,3.0,
78,tonic,hyperium/tonic,[],isc,{},2.0,2.0,323.0,,,,,2,,,,,False,1.0,-24.0
79,libmburs,Lexicality/libmburs,[],smart-grid-protocols,{},,,,,,,,0,,,,,False,,
80,meta-rugix,silitics/meta-rugix,[],yocto-layers,{},,,3.0,,,,,0,,,,,False,,
81,rugix,silitics/rugix,[],tools,{},,,7.0,,,,,0,,,,,False,,-20.0
